# top domain
cd .ro .firm
cd .ro .nom
cd .ro .nt
cd .ro .rec
cd .ro .store
cd .ro .tm
cd .ro .www
cd .bd .ac
cd .be .ac
cd .be .belgie
cd .be .dns
cd .be .fgov
cd .ba .co
cd .ba .rs
cd .ba .unbi
cd .ba .unsa
cd .bh .cc
cd .bo .gob
cd .bo .tv
cd .jp .ac
cd .jp .ad
cd .jp .aichi
cd .jp .akita
cd .jp .aomori
cd .jp .chiba
cd .jp .co
cd .jp .ed
cd .jp .ehime
cd .jp .fukui
cd .jp .fukuoka
cd .jp .fukushima
cd .jp .gifu
cd .jp .go
cd .jp .gr
cd .jp .gunma
cd .jp .hiroshima
cd .jp .hokkaido
cd .jp .hyogo
cd .jp .ibaraki
cd .jp .ishikawa
cd .jp .iwate
cd .jp .kagawa
cd .jp .kagoshima
cd .jp .kanagawa
cd .jp .kanazawa
cd .jp .kawasaki
cd .jp .kitakyushu
cd .jp .kobe
cd .jp .kochi
cd .jp .kumamoto
cd .jp .kyoto
cd .jp .lg
cd .jp .matsuyama
cd .jp .mie
cd .jp .miyagi
cd .jp .miyazaki
cd .jp .nagano
cd .jp .nagasaki
cd .jp .nagoya
cd .jp .nara
cd .jp .ne
cd .jp .niigata
cd .jp .oita
cd .jp .okayama
cd .jp .okinawa
cd .jp .or
cd .jp .osaka
cd .jp .saga
cd .jp .saitama
cd .jp .sapporo
cd .jp .sendai
cd .jp .shiga
cd .jp .shimane
cd .jp .shizuoka
cd .jp .takamatsu
cd .jp .tochigi
cd .jp .tokushima
cd .jp .tokyo
cd .jp .tottori
cd .jp .toyama
cd .jp .utsunomiya
cd .jp .wakayama
cd .jp .yamagata
cd .jp .yamaguchi
cd .jp .yamanashi
cd .jp .yokohama
cd .bw .co
cd .br .adm
cd .br .adv
cd .br .agr
cd .br .am
cd .br .arq
cd .br .art
cd .br .ato
cd .br .bio
cd .br .bmd
cd .br .cim
cd .br .cng
cd .br .cnt
cd .br .dpn
cd .br .ecn
cd .br .eng
cd .br .esp
cd .br .etc
cd .br .eti
cd .br .far
cd .br .fm
cd .br .fnd
cd .br .fot
cd .br .fst
cd .br .g12
cd .br .ggf
cd .br .imb
cd .br .ind
cd .br .inf
cd .br .jor
cd .br .lel
cd .br .mat
cd .br .med
cd .br .mus
cd .br .nom
cd .br .not
cd .br .ntr
cd .br .odo
cd .br .ppg
cd .br .psc
cd .br .psi
cd .br .qsl
cd .br .rec
cd .br .slg
cd .br .srv
cd .br .tmp
cd .br .trd
cd .br .tur
cd .br .tv
cd .br .vet
cd .br .zlg
cd .org .dk
cd .org .eu
cd .om .ac
cd .om .co
cd .om .med
cd .om .mod
cd .om .sch
cd .ck .co
cd .co .arts
cd .co .firm
cd .co .nom
cd .co .rec
cd .co .store
cd .co .web
cd .co .lkd.co
cd .co .ltd.co
cd .co .plc.co
cd .cn .ac
cd .cn .ah
cd .cn .bj
cd .cn .cq
cd .cn .fj
cd .cn .gd
cd .cn .gs
cd .cn .gx
cd .cn .gz
cd .cn .ha
cd .cn .hb
cd .cn .he
cd .cn .hi
cd .cn .hk
cd .cn .hl
cd .cn .hn
cd .cn .jl
cd .cn .js
cd .cn .jx
cd .cn .ln
cd .cn .mo
cd .cn .nm
cd .cn .nx
cd .cn .qh
cd .cn .sc
cd .cn .sd
cd .cn .sh
cd .cn .sn
cd .cn .sx
cd .cn .tj
cd .cn .tw
cd .cn .xj
cd .cn .xz
cd .cn .yn
cd .cn .zj
cd .tr .av
cd .tr .bbs
cd .tr .bel
cd .tr .dr
cd .tr .gen
cd .tr .k12
cd .tr .pol
cd .tr .web
cd .ca .ab
cd .ca .bc
cd .ca .gc
cd .ca .mb
cd .ca .nb
cd .ca .nf
cd .ca .nl
cd .ca .ns
cd .ca .nt
cd .ca .nu
cd .ca .on
cd .ca .pe
cd .ca .qc
cd .ca .sk
cd .ca .yk
cd .cy .ac
cd .cy .ekloges
cd .cy .ltd
cd .cy .parliament
cd .cy .press
cd .cy .tm
cd .je .ac
cd .je .co
cd .je .ind
cd .je .jersey
cd .je .ltd
cd .je .sch
cd .cr .ac
cd .cr .co
cd .cr .ed
cd .cr .fi
cd .cr .go
cd .cr .or
cd .cr .sa
cd .cu .inf
cd .ve .arts
cd .ve .bib
cd .ve .co
cd .ve .firm
cd .ve .nom
cd .ve .rec
cd .ve .store
cd .ve .tec
cd .ve .web
cd .pr .isla
cd .ps .plo
cd .ps .sec
cd .pt .nome
cd .pt .publ
cd .pa .abo
cd .pa .ac
cd .pa .gob
cd .pa .ing
cd .pa .med
cd .pa .nom
cd .pa .sld
cd .pg .ac
cd .pe .gob
cd .pe .nom
cd .pk .fam
cd .pk .gob
cd .pk .gok
cd .pk .gon
cd .pk .gop
cd .pk .gos
cd .pk .web
cd .ph .ngo
cd .pl .agro
cd .pl .aid
cd .pl .art
cd .pl .atm
cd .pl .auto
cd .pl .bialystok
cd .pl .gda
cd .pl .gdansk
cd .pl .gmina
cd .pl .gsm
cd .pl .katowice
cd .pl .krakow
cd .pl .lodz
cd .pl .lublin
cd .pl .mail
cd .pl .media
cd .pl .miasta
cd .pl .ngo
cd .pl .nieruchomosci
cd .pl .nom
cd .pl .olsztyn
cd .pl .opole
cd .pl .pc
cd .pl .powiat
cd .pl .poznan
cd .pl .priv
cd .pl .realestate
cd .pl .rel
cd .pl .sex
cd .pl .shop
cd .pl .sklep
cd .pl .slupsk
cd .pl .sos
cd .pl .szczecin
cd .pl .szkola
cd .pl .targi
cd .pl .tm
cd .pl .torun
cd .pl .tourism
cd .pl .turystyka
cd .pl .warszawa
cd .pl .waw
cd .pl .wroc
cd .pl .wroclaw
cd .pl .za
cd .pl .zgora
cd .hr .from
cd .hr .iz
cd .ht .adult
cd .ht .art
cd .ht .asso
cd .ht .firm
cd .ht .gouv
cd .ht .med
cd .ht .perso
cd .ht .pol
cd .ht .rel
cd .ht .shop
cd .hu .2000
cd .hu .ac
cd .hu .agrar
cd .hu .bolt
cd .hu .casino
cd .hu .city
cd .hu .co
cd .hu .erotica
cd .hu .erotika
cd .hu .film
cd .hu .forum
cd .hu .games
cd .hu .hotel
cd .hu .ingatlan
cd .hu .jogasz
cd .hu .konyvelo
cd .hu .lakas
cd .hu .media
cd .hu .news
cd .hu .priv
cd .hu .reklam
